Actual,Image,Count,Mean,Max,Std
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_026 (2).jpg,15,0.3246428,0.6050079,0.08973304
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_002 (2).jpg,8,0.32722735,0.5965118,0.11428419
Benign,/content/SplitBloodSmearSamples/train/Benign/Sap_013 (33).jpg,7,0.33884725,0.3726753,0.040655456
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_127.jpg,23,0.3505816,0.5324238,0.093671285
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_070 (3).jpg,15,0.3379337,0.48892808,0.06874956
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_109.jpg,8,0.37629837,0.64427817,0.14892904
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_042 (2).jpg,8,0.27489027,0.43196172,0.064444885
Benign,/content/SplitBloodSmearSamples/train/Benign/Sap_013 (31).jpg,18,0.3257879,0.6267975,0.093271576
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_154.jpg,7,0.34237242,0.6191413,0.118779674
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_044.jpg,6,0.26812574,0.36930323,0.04577388
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_182.jpg,2,0.2965415,0.3235103,0.026968762
Benign,/content/SplitBloodSmearSamples/train/Benign/Sap_013 (37).jpg,17,0.29013962,0.43684042,0.058552284
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_061.jpg,11,0.2968551,0.4644596,0.06552836
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_003 (3).jpg,11,0.2718436,0.34089863,0.033385966
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_094.jpg,15,0.29885566,0.66344786,0.1032035
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_027 (2).jpg,14,0.282668,0.3436504,0.034654833
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_015 (2).jpg,8,0.29080254,0.39784002,0.048431266
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_122 (2).jpg,2,0.28024632,0.30154908,0.02130276
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_015.jpg,7,0.2502126,0.28946027,0.021035053
Benign,/content/SplitBloodSmearSamples/train/Benign/Sap_013 (16).jpg,12,0.2910482,0.38620806,0.054189682
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_045 (2).jpg,8,0.29214475,0.37860236,0.05187806
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_068 (2).jpg,7,0.34644732,0.46275574,0.06422304
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_115 (2).jpg,7,0.28358525,0.4132027,0.05787642
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_117.jpg,10,0.31278014,0.567423,0.08952377
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_046 (2).jpg,7,0.30724812,0.3881611,0.04361701
Benign,/content/SplitBloodSmearSamples/train/Benign/Sap_013 (5).jpg,5,0.28017297,0.3183829,0.024253193
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_098.jpg,12,0.2676388,0.33323497,0.025812283
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_041 (3).jpg,14,0.27605027,0.33746484,0.030983103
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_055.jpg,16,0.32087243,0.7032188,0.118511565
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_017 (3).jpg,12,0.25468862,0.33081618,0.030792274
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_077.jpg,11,0.3276843,0.6430416,0.124201156
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_146.jpg,5,0.36050922,0.65530497,0.15577424
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_031.jpg,5,0.26649302,0.3079965,0.028953401
Benign,/content/SplitBloodSmearSamples/train/Benign/Sap_013 (43).jpg,11,0.3285417,0.57142556,0.10051147
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_068.jpg,14,0.33273837,0.6798494,0.11093207
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_058.jpg,10,0.27012703,0.44512755,0.060368426
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_085.jpg,9,0.28202873,0.3894253,0.043503895
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_064.jpg,8,0.34561664,0.45403203,0.05480838
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_048.jpg,8,0.27225262,0.3391208,0.029753305
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_093 (3).jpg,14,0.304612,0.40156636,0.067487516
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_009 (2).jpg,10,0.31333825,0.59701216,0.1006641
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_170.jpg,9,0.29783717,0.5155151,0.08007557
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_110.jpg,11,0.26645854,0.33387643,0.028650068
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_058 (3).jpg,20,0.34027073,0.5690613,0.0959213
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_008 (2).jpg,14,0.3208801,0.5053339,0.087255284
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_022 (3).jpg,8,0.29736012,0.36707723,0.031288177
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_019 (2).jpg,11,0.29110706,0.3929813,0.043044835
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_018 (3).jpg,16,0.27921116,0.32599974,0.025825514
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_074.jpg,20,0.3021236,0.46513206,0.050673235
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_103 (3).jpg,14,0.2894117,0.4065361,0.040603347
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_089 (3).jpg,17,0.33686978,0.48567626,0.07589405
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_047 (2).jpg,4,0.34007612,0.42347685,0.055883534
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_106 (3).jpg,12,0.31088373,0.509843,0.07809713
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_022 (2).jpg,7,0.34718034,0.66807944,0.14989823
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_009 (3).jpg,14,0.26819816,0.40479478,0.043723665
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_137.jpg,11,0.2747,0.33506435,0.03450867
Benign,/content/SplitBloodSmearSamples/train/Benign/Sap_013 (4).jpg,6,0.28068587,0.3350213,0.034197673
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_019.jpg,10,0.28633085,0.38405424,0.0465208
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_028 (3).jpg,7,0.31696346,0.54028577,0.103994004
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_007 (4).jpg,14,0.2973222,0.46525252,0.058067217
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_099 (2).jpg,13,0.2863732,0.35926223,0.038620405
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_023 (4).jpg,25,0.31566083,0.48411852,0.0745123
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_063 (3).jpg,8,0.30493107,0.54733604,0.095611036
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_120 (2).jpg,6,0.31611618,0.57310236,0.11666488
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_040.jpg,14,0.2540537,0.28909266,0.016882006
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_079 (3).jpg,12,0.33069536,0.5065182,0.07137634
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_138.jpg,20,0.28764245,0.45837218,0.06268443
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_082 (3).jpg,13,0.33428776,0.47075975,0.07338886
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_112 (2).jpg,7,0.2817804,0.33391976,0.03320059
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_042 (3).jpg,17,0.38729453,0.58066314,0.090058334
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_024 (4).jpg,18,0.3074373,0.48530823,0.07379659
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_018.jpg,13,0.2865146,0.5875797,0.09249618
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_031 (2).jpg,4,0.32096088,0.42246348,0.07077218
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_037.jpg,9,0.26882315,0.32838815,0.036713243
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_021.jpg,25,0.26295954,0.35748416,0.03521462
Benign,/content/SplitBloodSmearSamples/train/Benign/Sap_013 (1).jpg,6,0.29606012,0.34764007,0.03443404
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_124.jpg,34,0.33534363,0.51930904,0.083412245
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_029 (4).jpg,17,0.3552905,0.54856443,0.0929551
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_039 (2).jpg,11,0.28740913,0.42180514,0.054539632
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_136 (2).jpg,3,0.26218748,0.282353,0.014351883
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_020 (2).jpg,9,0.27922547,0.31992483,0.023766028
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_177.jpg,7,0.28261295,0.34712118,0.037870936
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_130 (2).jpg,8,0.33974284,0.6616905,0.13776287
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_024 (3).jpg,13,0.30600956,0.45143035,0.066045254
Benign,/content/SplitBloodSmearSamples/train/Benign/Sap_013 (18).jpg,14,0.32257992,0.49246442,0.07109133
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_030 (3).jpg,9,0.28166437,0.41333425,0.053065274
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_158.jpg,6,0.32544887,0.4079156,0.06749198
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_175.jpg,6,0.28996956,0.39693952,0.059686124
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_029.jpg,13,0.25902689,0.32617426,0.027735975
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_134 (2).jpg,3,0.30182782,0.40853256,0.07615165
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_058 (2).jpg,5,0.24865656,0.26562992,0.013449032
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_070.jpg,10,0.24373953,0.29954243,0.020316355
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_103.jpg,11,0.29956186,0.44763836,0.05374625
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_006 (3).jpg,12,0.2782344,0.3349586,0.029819086
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_065 (3).jpg,6,0.2614348,0.2734493,0.010199926
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_001.jpg,9,0.27426478,0.33953592,0.03916706
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_094 (3).jpg,15,0.33104876,0.4498732,0.065540805
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_074 (3).jpg,15,0.32132703,0.57034767,0.083315335
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_157.jpg,2,0.23441492,0.23474997,0.0003350526
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_119.jpg,13,0.29534063,0.639502,0.10786985
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_036 (3).jpg,23,0.32977918,0.584452,0.08672505
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_103 (2).jpg,5,0.29104415,0.36000726,0.050869603
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_032 (2).jpg,6,0.2943888,0.44339508,0.06765646
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_008 (3).jpg,12,0.2843208,0.34591946,0.036769424
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_155.jpg,7,0.26047865,0.28509256,0.018145882
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_031 (3).jpg,5,0.2751173,0.32495788,0.03757505
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_056 (3).jpg,15,0.38857886,0.54021734,0.089587845
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_135.jpg,15,0.351756,0.50122094,0.08303389
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_178.jpg,15,0.31333104,0.5232292,0.084406205
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_045.jpg,5,0.262658,0.3208744,0.030505657
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_092.jpg,13,0.2810391,0.39184958,0.05288275
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_096.jpg,10,0.30577683,0.5400383,0.08410814
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_008.jpg,14,0.25575197,0.39385158,0.044134762
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_032 (4).jpg,16,0.31836623,0.51252985,0.08617042
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_076 (3).jpg,17,0.35708913,0.5459037,0.090519086
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_092 (2).jpg,2,0.2608133,0.2622143,0.0014009923
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_087 (2).jpg,7,0.28077927,0.3449462,0.03341051
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_069 (2).jpg,1,0.5271685,0.5271685,0.0
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_084.jpg,30,0.29124612,0.56201243,0.081564106
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_060.jpg,9,0.30324352,0.50299096,0.078091174
Benign,/content/SplitBloodSmearSamples/train/Benign/Sap_013 (29).jpg,15,0.3335623,0.6005214,0.1053708
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_005 (2).jpg,8,0.3284241,0.49119818,0.08534815
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_054 (3).jpg,13,0.33888167,0.47188705,0.074508406
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_008 (4).jpg,17,0.2837597,0.42578837,0.046290744
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_025 (3).jpg,19,0.25429,0.3179368,0.020679962
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_113 (3).jpg,16,0.32624182,0.43103266,0.061154522
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_122 (3).jpg,21,0.3487091,0.57682884,0.087708995
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_073 (3).jpg,16,0.32836807,0.48261535,0.07995289
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_007 (3).jpg,13,0.28709996,0.3585658,0.035551317
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_071 (3).jpg,12,0.30694118,0.4496258,0.06923898
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_043.jpg,11,0.25902268,0.3482596,0.030982155
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_141.jpg,11,0.3139218,0.58044726,0.094462
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_126.jpg,19,0.28174955,0.34602988,0.03009489
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_060 (3).jpg,4,0.30500704,0.45937747,0.08921122
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_101 (3).jpg,17,0.31593892,0.64594007,0.10144281
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_025.jpg,10,0.25173083,0.37890607,0.042660553
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_003 (2).jpg,7,0.338031,0.62530565,0.121367015
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_129.jpg,30,0.39427105,0.5796435,0.11006164
Benign,/content/SplitBloodSmearSamples/train/Benign/Sap_013 (17).jpg,11,0.31995365,0.46892798,0.06841691
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_120 (3).jpg,17,0.3143693,0.44139606,0.06434114
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_023 (2).jpg,12,0.28043312,0.37576482,0.039426137
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_053 (2).jpg,4,0.2795477,0.32977718,0.031414185
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_114 (2).jpg,2,0.24799952,0.2503124,0.0023128614
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_013 (4).jpg,19,0.31902274,0.45567006,0.07054799
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_049 (2).jpg,11,0.2916078,0.38608304,0.04387987
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_053 (3).jpg,16,0.3185345,0.45584857,0.07053468
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_176.jpg,7,0.32249603,0.5113161,0.08123122
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_075 (2).jpg,3,0.25367156,0.26568282,0.009732322
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_019 (4).jpg,19,0.3123146,0.57064474,0.07638199
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_087.jpg,15,0.31378415,0.48342663,0.06761013
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_111.jpg,4,0.24761453,0.25644535,0.011500964
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_128 (2).jpg,4,0.30217218,0.3837518,0.050939247
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_024.jpg,12,0.29383543,0.36713225,0.0443944
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_064 (2).jpg,4,0.26458853,0.2882875,0.021041961
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_104.jpg,15,0.31605336,0.5067751,0.076911114
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_014.jpg,4,0.31582558,0.46125907,0.08408303
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_097.jpg,13,0.29024038,0.5120927,0.07876752
Benign,/content/SplitBloodSmearSamples/train/Benign/Sap_013 (9).jpg,13,0.30637547,0.4302461,0.056591213
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_090 (3).jpg,15,0.32838657,0.48390847,0.06976977
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_063 (2).jpg,3,0.3232048,0.32904667,0.007734501
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_106.jpg,12,0.29855308,0.44979632,0.055929363
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_010 (2).jpg,9,0.32281524,0.6133594,0.10845926
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_153.jpg,11,0.29493093,0.40345812,0.04747475
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_073 (2).jpg,13,0.32596022,0.6247989,0.10011719
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_098 (2).jpg,9,0.26700515,0.3090087,0.02157286
Benign,/content/SplitBloodSmearSamples/train/Benign/Sap_013 (40).jpg,10,0.2925158,0.4420674,0.0691627
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_033 (2).jpg,10,0.256605,0.31898063,0.032254018
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_084 (2).jpg,9,0.3211333,0.5249958,0.09294901
Benign,/content/SplitBloodSmearSamples/train/Benign/Sap_013 (10).jpg,21,0.2982243,0.40313104,0.053640533
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_081 (3).jpg,13,0.31090286,0.43742457,0.059305005
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_067 (3).jpg,13,0.28160203,0.5047094,0.067422606
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_039 (3).jpg,11,0.32529467,0.50478095,0.07840464
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_017 (4).jpg,25,0.3352236,0.5602193,0.085259736
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_003.jpg,12,0.3024417,0.4253749,0.04905109
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_084 (3).jpg,16,0.33802104,0.57309556,0.09950584
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_039.jpg,12,0.34017298,0.531242,0.09499061
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_025 (4).jpg,21,0.3125957,0.5251548,0.08660806
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_035 (3).jpg,22,0.30972385,0.50591457,0.06318921
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_004 (3).jpg,9,0.28767458,0.33429587,0.03474208
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_016 (2).jpg,10,0.27740705,0.3513495,0.03757352
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_032.jpg,10,0.27980232,0.37862456,0.04069538
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_125 (2).jpg,9,0.30955777,0.6446813,0.124752745
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_097 (2).jpg,5,0.25886792,0.290371,0.019147336
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_065 (2).jpg,6,0.28486535,0.36223322,0.04389248
Benign,/content/SplitBloodSmearSamples/train/Benign/Sap_013 (26).jpg,10,0.33120042,0.5487435,0.114156485
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_038.jpg,9,0.29093552,0.45767653,0.07008929
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_037 (3).jpg,16,0.33204964,0.49375218,0.07807452
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_020 (3).jpg,8,0.25830486,0.38887435,0.05061896
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_161.jpg,6,0.29825458,0.4338948,0.063753955
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_051.jpg,12,0.2583325,0.342644,0.03514828
Benign,/content/SplitBloodSmearSamples/train/Benign/Sap_013 (2).jpg,6,0.3437083,0.44350928,0.074414305
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_102 (2).jpg,9,0.27233332,0.36509198,0.048896275
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_168.jpg,5,0.25204748,0.2674318,0.012096695
